,cardname,text,cmc,mana,type,Type
33103,Rustvale Bridge,"Rustvale Bridge enters the battlefield tapped.
Indestructible
{T}: Add {R} or {W}.",0,,Artifact Land,
33104,Silverbluff Bridge,"Silverbluff Bridge enters the battlefield tapped.
Indestructible
{T}: Add {U} or {R}.",0,,Artifact Land,
33105,Slagwoods Bridge,"Slagwoods Bridge enters the battlefield tapped.
Indestructible
{T}: Add {R} or {G}.",0,,Artifact Land,
33106,Tanglepool Bridge,"Tanglepool Bridge enters the battlefield tapped.
Indestructible
{T}: Add {G} or {U}.",0,,Artifact Land,
33108,Thornglint Bridge,"Thornglint Bridge enters the battlefield tapped.
Indestructible
{T}: Add {G} or {W}.",0,,Artifact Land,
33123,Slaughter Games,"This spell can't be countered.
Choose a nonland card name. Search target opponent's graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles.",4,{2}{B}{R},Sorcery,
33124,Supreme Verdict,"This spell can't be countered.
Destroy all creatures.",4,{1}{W}{W}{U},Sorcery,
33125,Tainted Remedy,"If an opponent would gain life, that player loses that much life instead.",3,{2}{B},Enchantment,
33127,Tireless Tracker,"Landfall - Whenever a land enters the battlefield under your control, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker.",3,{2}{G},Creature - Human Scout,
33128,Titan's Strength,Target creature gets +3/+1 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),1,{R},Instant,
33131,Activated Sleeper,"Flash
You may have Activated Sleeper enter the battlefield as a copy of any creature card in a graveyard that was put there from the battlefield this turn, except it's a Phyrexian in addition to its other types.",3,{2}{B},Creature - Phyrexian Shapeshifter,
33142,"Ayesha Tanaka, Armorer","Whenever Ayesha Tanaka, Armorer attacks, look at the top four cards of your library. You may put any number of artifact cards with mana value less than or equal to Ayesha's power from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.
Ayesha can't be blocked as long as defending player controls three or more artifacts.",5,{3}{W}{U},Legendary Creature - Human Artificer,
33145,"Baru, Wurmspeaker","Wurms you control get +2/+2 and have trample.
{7}{G}, {T}: Create a 4/4 green Wurm creature token. This ability costs {X} less to activate, where X is the greatest power among Wurms you control.",4,{2}{G}{G},Legendary Creature - Human Druid,
33151,"Bladewing, Deathless Tyrant","Flying, haste
Whenever Bladewing, Deathless Tyrant deals combat damage to a player or planeswalker, for each creature card in your graveyard, create a 2/2 black Zombie Knight creature token with menace.",7,{5}{B}{R},Legendary Creature - Dragon Skeleton,
33155,"Cadric, Soul Kindler","The ""legend rule"" doesn't apply to tokens you control.
Whenever another nontoken legendary permanent enters the battlefield under your control, you may pay {1}. If you do, create a token that's a copy of it. That token gains haste. Sacrifice it at the beginning of the next end step.",4,{2}{R}{W},Legendary Creature - Dwarf Wizard,
33169,"Dihada, Binder of Wills","+2: Up to one target legendary creature gains vigilance, lifelink, and indestructible until your next turn.
−3: Reveal the top four cards of your library. Put any number of legendary cards from among them into your hand and the rest into your graveyard. Create a Treasure token for each card put into your graveyard this way.
−11: Gain control of all nonland permanents until end of turn. Untap them. They gain haste until end of turn.
Dihada, Binder of Wills can be your commander.",4,{1}{R}{W}{B},Legendary Planeswalker - Dihada,
33174,Emperor Mihail II,"You may look at the top card of your library any time.
You may cast Merfolk spells from the top of your library.
Whenever you cast a Merfolk spell, you may pay {1}. If you do, create a 1/1 blue Merfolk creature token.",3,{1}{U}{U},Legendary Creature - Merfolk Noble,
33182,Fallaji Wayfarer,"Fallaji Wayfarer is all colors. This ability doesn't affect its color identity. (It can be in any deck whose commander's color identity includes green.)
Multicolored spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a multicolored spell pays for {1} or one mana of a color that creature is.)",3,{2}{G},Creature - Human Scout,
33191,General Marhault Elsdragon,"Whenever a creature you control becomes blocked, it gets +3/+3 until end of turn for each creature blocking it.",4,{2}{R}{G},Legendary Creature - Elf Warrior,
33193,Gerrard's Hourglass Pendant,"Flash
If a player would begin an extra turn, that player skips that turn instead.
{4}, {T}, Exile Gerrard's Hourglass Pendant: Return to the battlefield tapped all artifact, creature, enchantment, and land cards in your graveyard that were put there from the battlefield this turn.",1,{1},Legendary Artifact,
33196,"Greensleeves, Maro-Sorcerer","Protection from planeswalkers and from Wizards
Greensleeves, Maro-Sorcerer's power and toughness are each equal to the number of lands you control.
Landfall - Whenever a land enters the battlefield under your control, create a 3/3 green Badger creature token.",5,{3}{G}{G},Legendary Creature - Elemental,
33198,"Hazezon, Shaper of Sand","Desertwalk (This creature can't be blocked as long as defending player controls a Desert.)
You may play Desert lands from your graveyard.
Whenever a Desert enters the battlefield under your control, create two 1/1 red, green, and white Sand Warrior creature tokens.",3,{R}{G}{W},Legendary Creature - Human Warrior,
33205,Historian's Boon,"Whenever Historian's Boon or another nontoken enchantment enters the battlefield under your control, create a 1/1 white Soldier creature token.
Whenever the final chapter ability of a Saga you control triggers, create a 4/4 white Angel creature token with flying and vigilance.",4,{3}{W},Enchantment,
33208,Iridian Maelstrom,Destroy each creature that isn't all colors.,5,{W}{U}{B}{R}{G},Sorcery,
33209,Jared Carthalion,"+1: Create a 3/3 Kavu creature token with trample that's all colors.
−3: Choose up to two target creatures. For each of them, put a number of +1/+1 counters on it equal to the number of colors it is.
−6: Return target multicolored card from your graveyard to your hand. If that card was all colors, draw a card and create two Treasure tokens.
Jared Carthalion can be your commander.",5,{W}{U}{B}{R}{G},Legendary Planeswalker - Jared,
33210,Jasmine Boreal of the Seven,"{T}: Add {G}{W}. Spend this mana only to cast creature spells with no abilities.
Creatures you control with no abilities can't be blocked by creatures with abilities.",3,{1}{G}{W},Legendary Creature - Human Druid,
33212,"Jedit Ojanen, Mercenary","Whenever Jedit Ojanen, Mercenary or another legendary creature enters the battlefield under your control, you may pay {G}. If you do, create a 2/2 green Cat Warrior creature token with forestwalk. (It can't be blocked as long as defending player controls a Forest.)",3,{1}{W}{U},Legendary Creature - Cat Mercenary,
33213,"Jenson Carthalion, Druid Exile","Whenever you cast a multicolored spell, scry 1. If that spell was all colors, create a 4/4 white Angel creature token with flying and vigilance.
{5}, {T}: Add {W}{U}{B}{R}{G}.",2,{G}{W},Legendary Creature - Human Druid,
33226,Mana Cannons,"Whenever you cast a multicolored spell, Mana Cannons deals X damage to any target, where X is the number of colors that spell is.",3,{2}{R},Enchantment,
33231,"Moira, Urborg Haunt","Menace
Whenever Moira, Urborg Haunt deals combat damage to a player, return to the battlefield target creature card in your graveyard that was put there from the battlefield this turn.",3,{2}{B},Legendary Creature - Spirit Wizard,
33241,Obsidian Obelisk,"Obsidian Obelisk enters the battlefield tapped.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a multicolored spell.",2,{2},Artifact,
33243,Ohabi Caleria,"Reach
Untap all Archers you control during each other player's untap step.
Whenever an Archer you control deals damage to a creature, you may pay {2}. If you do, draw a card.",3,{1}{G}{W},Legendary Creature - Elf Archer,
33244,"O-Kagachi, Vengeful Kami","Flying, trample
Whenever O-Kagachi, Vengeful Kami deals combat damage to a player, if that player attacked you during their last turn, exile target nonland permanent that player controls.",6,{1}{W}{U}{B}{R}{G},Legendary Creature - Dragon Spirit,
33247,"Orca, Siege Demon","Trample
Whenever another creature dies, put a +1/+1 counter on Orca, Siege Demon.
When Orca dies, it deals damage equal to its power divided as you choose among any number of targets.",7,{5}{B}{R},Legendary Creature - Demon,
33251,Path to the World Tree,"When Path to the World Tree enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle.
{2}{W}{U}{B}{R}{G}, Sacrifice Path to the World Tree: You gain 2 life and draw two cards. Target opponent loses 2 life. Path to the World Tree deals 2 damage to up to one target creature. You create a 2/2 green Bear creature token.",2,{1}{G},Enchantment,
33254,Primeval Spawn,"If Primeval Spawn would enter the battlefield and it wasn't cast or no mana was spent to cast it, exile it instead.
Vigilance, trample, lifelink
When Primeval Spawn leaves the battlefield, exile the top ten cards of your library. You may cast any number of spells with total mana value 10 or less from among them without paying their mana costs.",10,{5}{W}{U}{B}{R}{G},Creature - Avatar,
33258,"Ramirez DePietro, Pillager","When Ramirez DePietro, Pillager enters the battlefield, you lose 2 life and create two Treasure tokens.
Whenever one or more Pirates you control deal combat damage to a player, exile the top card of that player's library. You may cast that card for as long as it remains exiled.",4,{2}{U}{B},Legendary Creature - Human Pirate,
33259,"Ramses, Assassin Lord","Deathtouch
Other Assassins you control get +1/+1.
Whenever a player loses the game, if they were attacked this turn by an Assassin you controlled, you win the game.",4,{2}{U}{B},Legendary Creature - Human Assassin,
33260,"Rasputin, the Oneiromancer","When Rasputin, the Oneiromancer enters the battlefield, put a dream counter on it for each opponent you have. Each opponent creates a 1/1 red Goblin creature token.
{T}, Remove one or more dream counters from Rasputin: Add that much {C}.
{T}, Remove a dream counter from Rasputin: Create a 2/2 white Knight creature token with protection from red.",3,{1}{W}{U},Legendary Creature - Human Wizard,
33263,"Rienne, Angel of Rebirth","Flying
Other multicolored creatures you control get +1/+0.
Whenever another multicolored creature you control dies, return it to its owner's hand at the beginning of the next end step.",5,{2}{R}{G}{W},Legendary Creature - Angel,
33264,Robaran Mercenaries,"Vigilance
Robaran Mercenaries has all activated abilities of all legendary creatures you control.",4,{3}{W},Creature - Human Mercenary,
33266,"Rohgahh, Kher Keep Overlord","Other Kobolds you control get +2/+2.
Whenever you cast a Kobold spell, you may pay {2}. If you do, create a 4/4 red Dragon creature token with flying.
Whenever you cast a Dragon spell, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.",5,{3}{B}{R},Legendary Creature - Kobold Warrior,
33267,"Rosnakht, Heir of Rohgahh","Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Heroic - Whenever you cast a spell that targets Rosnakht, Heir of Rohgahh, create a 0/1 red Kobold creature token named Kobolds of Kher Keep.",1,{R},Legendary Creature - Kobold Warrior,
33273,"Shanid, Sleepers' Scourge","Menace
Other legendary creatures you control have menace.
Whenever you play a legendary land or cast a legendary spell, you draw a card and you lose 1 life.",4,{1}{R}{W}{B},Legendary Creature - Human Knight,
33275,"Shizo, Death's Storehouse","{T}: Add {B}.
{B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)",0,,Legendary Land,
33276,"Sivitri, Dragon Master","+1: Until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays 2 life for each of those creatures.
−3: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.
−7: Destroy all non-Dragon creatures.
Sivitri, Dragon Master can be your commander.",4,{2}{U}{B},Legendary Planeswalker - Sivitri,
33280,"Stangg, Echo Warrior","Whenever Stangg, Echo Warrior attacks, create Stangg Twin, a legendary 3/4 red and green Human Warrior creature token. It enters the battlefield tapped and attacking. For each Aura and Equipment attached to Stangg, create a token that's a copy of it attached to Stangg Twin. Sacrifice all tokens created this way at the beginning of the next end step.",4,{2}{R}{G},Legendary Creature - Human Warrior,
33281,Sultai Charm,"Choose one -
• Destroy target monocolored creature.
• Destroy target artifact or enchantment.
• Draw two cards, then discard a card.",3,{B}{G}{U},Instant,
33283,Surrak Dragonclaw,"Flash
This spell can't be countered.
Creature spells you control can't be countered.
Other creatures you control have trample.",5,{2}{G}{U}{R},Legendary Creature - Human Warrior,
33288,Temple of Silence,"Temple of Silence enters the battlefield tapped.
When Temple of Silence enters the battlefield, scry 1.
{T}: Add {W} or {B}.",0,,Land,
33289,Temple of Triumph,"Temple of Triumph enters the battlefield tapped.
When Temple of Triumph enters the battlefield, scry 1.
{T}: Add {R} or {W}.",0,,Land,
33290,"Tenza, Godo's Maul","Equipped creature gets +1/+1. As long as it's legendary, it gets an additional +2/+2. As long as it's red, it has trample.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",3,{3},Legendary Artifact - Equipment,
33294,"Tetsuo, Imperial Champion","Whenever Tetsuo, Imperial Champion attacks, if it's equipped, choose one -
• Tetsuo deals damage equal to the highest mana value among Equipment attached to it to any target.
• You may cast an instant or sorcery spell from your hand with mana value less than or equal to the highest mana value among Equipment attached to Tetsuo without paying its mana cost.",3,{U}{B}{R},Legendary Creature - Human Samurai,
33295,The Circle of Loyalty,"This spell costs {1} less to cast for each Knight you control.
Creatures you control get +1/+1.
Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance.
{3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.",6,{4}{W}{W},Legendary Artifact,
33296,The Ever-Changing 'Dane,"{1}, Sacrifice another creature: The Ever-Changing 'Dane becomes a copy of the sacrificed creature, except it has this ability.",3,{W}{U}{B},Legendary Creature - Shapeshifter,
33297,The Lady of Otaria,"You may tap three untapped Dwarves you control rather than pay this spell's mana cost.
At the beginning of each end step, if a land you controlled was put into your graveyard from the battlefield this turn, reveal the top four cards of your library. Put any number of Dwarf cards from among them into your hand. Put the rest on the bottom of your library in a random order.",5,{3}{R}{G},Legendary Creature - Avatar,
33298,The Mana Rig,"Whenever you cast a multicolored spell, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
{X}{X}{X}, {T}: Look at the top X cards of your library. Put up to two of them into your hand and the rest on the bottom of your library in a random order.",3,{3},Legendary Artifact,
33299,The Peregrine Dynamo,"Haste
{1}, {T}: Copy target activated or triggered ability you control from another legendary source that's not a commander. You may choose new targets for the copy. (Mana abilities can't be targeted.)",3,{3},Legendary Artifact Creature - Construct,
33300,The Reaver Cleaver,"Equipped creature gets +1/+1 and has trample and ""Whenever this creature deals combat damage to a player or planeswalker, create that many Treasure tokens.""
Equip {3}",3,{2}{R},Legendary Artifact - Equipment,
33301,Thrill of Possibility,"As an additional cost to cast this spell, discard a card.
Draw two cards.",2,{1}{R},Instant,
33302,Tiller Engine,"Whenever a land enters the battlefield tapped and under your control, choose one -
• Untap that land.
• Tap target nonland permanent an opponent controls.",2,{2},Artifact Creature - Construct,
33303,Time Wipe,"Return a creature you control to its owner's hand, then destroy all creatures.",5,{2}{W}{W}{U},Sorcery,
33304,Academy Loremaster,"At the beginning of each player's draw step, that player may draw an additional card. If they do, spells they cast this turn cost {2} more to cast.",2,{U}{U},Creature - Human Wizard,
33305,Academy Wall,"Defender
Whenever you cast an instant or sorcery spell, you may draw a card. If you do, discard a card. This ability triggers only once each turn.",3,{2}{U},Creature - Wall,
33307,Aether Channeler,"When Aether Channeler enters the battlefield, choose one -
• Create a 1/1 white Bird creature token with flying.
• Return another target nonland permanent to its owner's hand.
• Draw a card.",3,{2}{U},Creature - Human Wizard,
33308,Aggressive Sabotage,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Target player discards two cards. If this spell was kicked, it deals 3 damage to that player.",3,{2}{B},Sorcery,
33309,"Ajani, Sleeper Agent","Compleated ({G/W/P} can be paid with {G}, {W}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
+1: Reveal the top card of your library. If it's a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library.
−3: Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn.
−6: You get an emblem with ""Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.""",4,{1}{G}{G/W/P}{W},Legendary Planeswalker - Ajani,
33310,Anointed Peacekeeper,"Vigilance
As Anointed Peacekeeper enters the battlefield, look at an opponent's hand, then choose any card name.
Spells your opponents cast with the chosen name cost {2} more to cast.
Activated abilities of sources with the chosen name cost {2} more to activate unless they're mana abilities.",3,{2}{W},Creature - Human Cleric,
33311,Archangel of Wrath,"Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.)
Flying, lifelink
When Archangel of Wrath enters the battlefield, if it was kicked, it deals 2 damage to any target.
When Archangel of Wrath enters the battlefield, if it was kicked twice, it deals 2 damage to any target.",4,{2}{W}{W},Creature - Angel,
33312,Argivian Cavalier,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
When Argivian Cavalier enters the battlefield, create a 1/1 white Soldier creature token.",3,{2}{W},Creature - Orc Knight,
33313,Argivian Phalanx,"This spell costs {1} less to cast for each creature you control.
Vigilance",6,{5}{W},Creature - Human Kor Soldier,
33314,"Aron, Benalia's Ruin","Menace (This creature can't be blocked except by two or more creatures.)
{W}{B}, {T}, Sacrifice another creature: Put a +1/+1 counter on each creature you control.",3,{W}{W}{B},Legendary Creature - Phyrexian Human,
33315,Artillery Blast,"Domain - Artillery Blast deals X damage to target tapped creature, where X is 1 plus the number of basic land types among lands you control.",2,{1}{W},Instant,
33316,"Astor, Bearer of Blades","When Astor, Bearer of Blades enters the battlefield, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Equipment you control have equip {1}.
Vehicles you control have crew 1.",4,{2}{R}{W},Legendary Creature - Human Warrior,
33317,Automatic Librarian,"When Automatic Librarian enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",3,{3},Artifact Creature - Construct,
33318,"Baird, Argivian Recruiter","At the beginning of your end step, if you control a creature with power greater than its base power, create a 1/1 white Soldier creature token.",2,{R}{W},Legendary Creature - Human Soldier,
33319,Balduvian Atrocity,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Menace
When Balduvian Atrocity enters the battlefield, if it was kicked, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains haste. Sacrifice it at the beginning of the next end step.",3,{2}{B},Creature - Phyrexian Berserker,
33320,Balduvian Berserker,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
When Balduvian Berserker dies, it deals damage equal to its power to any target.",3,{2}{R},Creature - Kor Berserker,
33321,"Balmor, Battlemage Captain","Flying
Whenever you cast an instant or sorcery spell, creatures you control get +1/+0 and gain trample until end of turn.",2,{U}{R},Legendary Creature - Bird Wizard,
33322,Barkweave Crusher,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",4,{3}{G},Creature - Elemental Warrior,
33323,Battlefly Swarm,"Flying
{B}: Battlefly Swarm gains deathtouch until end of turn.",1,{B},Creature - Phyrexian Insect,
33324,Battle-Rage Blessing,"Target creature gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",2,{1}{B},Instant,
33325,Battlewing Mystic,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Flying
When Battlewing Mystic enters the battlefield, if it was kicked, discard your hand, then draw two cards.",2,{1}{U},Creature - Bird Wizard,
33326,Benalish Faithbonder,"Vigilance
Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",2,{1}{W},Creature - Human Cleric,
33327,Benalish Sleeper,"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When Benalish Sleeper enters the battlefield, if it was kicked, each player sacrifices a creature.",2,{1}{W},Creature - Phyrexian Human Soldier,
33328,Bite Down,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,2,{1}{G},Instant,
33329,Blight Pile,"Defender
{2}{B}, {T}: Each opponent loses X life, where X is the number of creatures with defender you control.",2,{1}{B},Creature - Phyrexian,
33330,Bog Badger,"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When Bog Badger enters the battlefield, if it was kicked, creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)",3,{2}{G},Creature - Badger,
33332,Bortuk Bonerattle,"Domain - When Bortuk Bonerattle enters the battlefield, if you cast it, choose target creature card in your graveyard. Return that card to the battlefield if its mana value is less than or equal to the number of basic land types among lands you control. Otherwise, put it into your hand.",6,{4}{B}{G},Legendary Creature - Troll Shaman,
33333,"Braids, Arisen Nightmare","At the beginning of your end step, you may sacrifice an artifact, creature, enchantment, land, or planeswalker. If you do, each opponent may sacrifice a permanent that shares a card type with it. For each opponent who doesn't, that player loses 2 life and you draw a card.",3,{1}{B}{B},Legendary Creature - Nightmare,
33334,Braids's Frightful Return,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I - You may sacrifice a creature. If you do, each opponent discards a card.
II - Return target creature card from your graveyard to your hand.
III - Target opponent may sacrifice a nonland, nontoken permanent. If they don't, they lose 2 life and you draw a card.",3,{2}{B},Enchantment - Saga,
33335,Briar Hydra,"Trample
Domain - Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control.",6,{5}{G},Creature - Plant Hydra,
33339,Chaotic Transformation,"Exile up to one target artifact, up to one target creature, up to one target enchantment, up to one target planeswalker, and/or up to one target land. For each permanent exiled this way, its controller reveals cards from the top of their library until they reveal a card that shares a card type with it, puts that card onto the battlefield, then shuffles.",6,{5}{R},Sorcery,
33340,Charismatic Vanguard,{4}{W}: Creatures you control get +1/+1 until end of turn.,3,{2}{W},Creature - Dwarf Soldier,
33341,Choking Miasma,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
If this spell was kicked, put a +1/+1 counter on a creature you control.
All creatures get -2/-2 until end of turn.",3,{1}{B}{B},Sorcery,
33342,Citizen's Arrest,"When Citizen's Arrest enters the battlefield, exile target creature or planeswalker an opponent controls until Citizen's Arrest leaves the battlefield.",3,{1}{W}{W},Enchantment,
33343,Cleaving Skyrider,"Flash
Kicker {2}{R} (You may pay an additional {2}{R} as you cast this spell.)
Flying
When Cleaving Skyrider enters the battlefield, if it was kicked, it deals X damage to any target, where X is the number of attacking creatures.",3,{2}{W},Creature - Human Warrior,
33344,Clockwork Drawbridge,"Defender
{2}{W}, {T}: Tap target creature.",1,{W},Artifact Creature - Wall,
33345,Coalition Skyknight,"Flying
Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",4,{3}{W},Creature - Human Knight,
33346,Coalition Warbrute,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
Trample",4,{3}{R},Creature - Minotaur Berserker,
33347,Colossal Growth,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Target creature gets +3/+3 until end of turn. If this spell was kicked, instead that creature gets +4/+4 and gains trample and haste until end of turn.",2,{1}{G},Instant,
33348,Combat Research,"Enchant creature
Enchanted creature has ""Whenever this creature deals combat damage to a player, draw a card.""
As long as enchanted creature is legendary, it gets +1/+1 and has ward {1}. (Whenever enchanted creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",1,{U},Enchantment - Aura,
33349,Contaminated Aquifer,"({T}: Add {U} or {B}.)
Contaminated Aquifer enters the battlefield tapped.",0,,Land - Island Swamp,
33350,Coral Colony,"Defender
{1}{U}, {T}: Target player mills X cards, where X is the number of creatures you control with defender. (To mill a card, a player puts the top card of their library into their graveyard.)",2,{1}{U},Creature - Wall,
33351,Cosmic Epiphany,Draw cards equal to the number of instant and sorcery cards in your graveyard.,6,{4}{U}{U},Sorcery,
33352,Crystal Grotto,"When Crystal Grotto enters the battlefield, scry 1.
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",0,,Land,
33353,Cult Conscript,"Cult Conscript enters the battlefield tapped.
{1}{B}: Return Cult Conscript from your graveyard to the battlefield. Activate only if a non-Skeleton creature died under your control this turn.",1,{B},Creature - Skeleton Warrior,
33354,Cut Down,Destroy target creature with total power and toughness 5 or less.,1,{B},Instant,
33355,"Danitha, Benalia's Hope","First strike, vigilance, lifelink
When Danitha, Benalia's Hope enters the battlefield, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha.",5,{4}{W},Legendary Creature - Human Knight,
33356,Deathbloom Gardener,"Deathtouch
{T}: Add one mana of any color.",3,{2}{G},Creature - Elf Druid,
33357,Defiler of Dreams,"Flying
As an additional cost to cast blue permanent spells, you may pay 2 life. Those spells cost {U} less to cast if you paid life this way. This effect reduces only the amount of blue mana you pay.
Whenever you cast a blue permanent spell, draw a card.",5,{3}{U}{U},Creature - Phyrexian Sphinx,
33358,Defiler of Faith,"Vigilance
As an additional cost to cast white permanent spells, you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay.
Whenever you cast a white permanent spell, create a 1/1 white Soldier creature token.",5,{3}{W}{W},Creature - Phyrexian Human,
33359,Defiler of Flesh,"Menace
As an additional cost to cast black permanent spells, you may pay 2 life. Those spells cost {B} less to cast if you paid life this way. This effect reduces only the amount of black mana you pay.
Whenever you cast a black permanent spell, target creature you control gets +1/+1 and gains menace until end of turn.",4,{2}{B}{B},Creature - Phyrexian Horror,
33360,Defiler of Instinct,"First strike
As an additional cost to cast red permanent spells, you may pay 2 life. Those spells cost {R} less to cast if you paid life this way. This effect reduces only the amount of red mana you pay.
Whenever you cast a red permanent spell, Defiler of Instinct deals 1 damage to any target.",4,{2}{R}{R},Creature - Phyrexian Kavu,
33361,Defiler of Vigor,"Trample
As an additional cost to cast green permanent spells, you may pay 2 life. Those spells cost {G} less to cast if you paid life this way. This effect reduces only the amount of green mana you pay.
Whenever you cast a green permanent spell, put a +1/+1 counter on each creature you control.",5,{3}{G}{G},Creature - Phyrexian Wurm,
33362,Destroy Evil,"Choose one -
• Destroy target creature with toughness 4 or greater.
• Destroy target enchantment.",2,{1}{W},Instant,
33363,Djinn of the Fountain,"Flying
Whenever you cast an instant or sorcery spell, choose one -
• Djinn of the Fountain gets +1/+1 until end of turn.
• Exile Djinn of the Fountain. Return it to the battlefield under its owner's control at the beginning of the next end step.
• Scry 1.",6,{4}{U}{U},Creature - Djinn,
33365,Drag to the Bottom,"Domain - Each creature gets -X/-X until end of turn, where X is 1 plus the number of basic land types among lands you control.",4,{2}{B}{B},Sorcery,
33366,Eerie Soultender,"When Eerie Soultender enters the battlefield, mill three cards. (To mill a card, put the top card of your library into your graveyard.)
{4}{B}, Exile Eerie Soultender from your graveyard: Return another target creature card from your graveyard to your hand.",3,{2}{B},Creature - Spirit Cleric,
33367,"Elas il-Kor, Sadistic Pilgrim","Deathtouch
Whenever another creature enters the battlefield under your control, you gain 1 life.
Whenever another creature you control dies, each opponent loses 1 life.",2,{W}{B},Legendary Creature - Phyrexian Kor Cleric,
33368,Electrostatic Infantry,"Trample
Whenever you cast an instant or sorcery spell, put a +1/+1 counter on Electrostatic Infantry.",2,{1}{R},Creature - Dwarf Wizard,
33369,Elfhame Wurm,"Vigilance, trample",5,{4}{G},Creature - Wurm,
33370,Elvish Hydromancer,"Kicker {3}{U} (You may pay an additional {3}{U} as you cast this spell.)
When Elvish Hydromancer enters the battlefield, if it was kicked, create a token that's a copy of target creature you control.",3,{2}{G},Creature - Elf Wizard,
33371,Ertai Resurrected,"Flash
When Ertai Resurrected enters the battlefield, choose up to one -
• Counter target spell, activated ability, or triggered ability. Its controller draws a card.
• Destroy another target creature or planeswalker. Its controller draws a card.",4,{2}{U}{B},Legendary Creature - Phyrexian Human Wizard,
33372,Ertai's Scorn,"This spell costs {U} less to cast if an opponent cast two or more spells this turn.
Counter target spell.",3,{1}{U}{U},Instant,
33374,Evolved Sleeper,"{B}: Evolved Sleeper becomes a Human Cleric with base power and toughness 2/2.
{1}{B}: If Evolved Sleeper is a Cleric, put a deathtouch counter on it and it becomes a Phyrexian Human Cleric with base power and toughness 3/3.
{1}{B}{B}: If Evolved Sleeper is a Phyrexian, put a +1/+1 counter on it, then you draw a card and you lose 1 life.",1,{B},Creature - Human,
33375,Extinguish the Light,"Destroy target creature or planeswalker. If its mana value was 3 or less, you gain 3 life.",4,{2}{B}{B},Instant,
